county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,total_morphine_mg,state,county_name,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
11,2007,1720825.0,12,222.0,1720365451.2014875,FL,BROWARD,12.900788865805644,14.088496419709609,12.900788865805644
11,2008,1723633.0,12,242.0,2180566108.9242625,FL,BROWARD,14.040111787137983,15.208641162050228,14.040111787137983
11,2009,1733310.0,12,242.0,2584570212.9216194,FL,BROWARD,13.96172640785549,14.500168263534942,13.96172640785549
11,2010,1752803.0,12,205.0,2995369311.100425,FL,BROWARD,11.695552780318154,15.664955201489008,11.695552780318154
11,2011,1786980.0,12,186.0,1491931753.3003876,FL,BROWARD,10.408622368465233,14.807061928930487,10.408622368465233
11,2012,1814253.0,12,191.0,808639092.8198625,FL,BROWARD,10.527748886180703,13.184114832066342,10.527748886180703
11,2013,1836600.0,12,155.0,591260716.23435,FL,BROWARD,8.439507786126537,11.630726530637734,8.439507786126537
11,2014,1860933.0,12,180.0,570431129.6109375,FL,BROWARD,9.67256747018834,12.109261541833874,9.67256747018834
11,2015,1885040.0,12,252.0,568954279.9442998,FL,BROWARD,13.368416585324448,14.987429129395773,13.368416585324448
13,2006,13997.0,12,,1851905.823,FL,CALHOUN,,14.028622030911139,14.028622030911139
13,2007,14222.0,12,,2021532.2535,FL,CALHOUN,,14.088496419709609,14.088496419709609
13,2008,14351.0,12,,2225156.55,FL,CALHOUN,,15.208641162050228,15.208641162050228
13,2009,14692.0,12,,2580235.47,FL,CALHOUN,,14.500168263534942,14.500168263534942
13,2010,14647.0,12,,2722435.965,FL,CALHOUN,,15.664955201489008,15.664955201489008
13,2011,14717.0,12,,2810688.7313624998,FL,CALHOUN,,14.807061928930487,14.807061928930487
13,2012,14665.0,12,,2793381.48,FL,CALHOUN,,13.184114832066342,13.184114832066342
13,2013,14578.0,12,,2826420.5288625,FL,CALHOUN,,11.630726530637734,11.630726530637734
13,2014,14450.0,12,,2960742.6975,FL,CALHOUN,,12.109261541833874,12.109261541833874
13,2015,14406.0,12,,3345078.375,FL,CALHOUN,,14.987429129395773,14.987429129395773
15,2006,157099.0,12,,82123309.59293751,FL,CHARLOTTE,,14.028622030911139,14.028622030911139
15,2007,159742.0,12,,103382876.4522,FL,CHARLOTTE,,14.088496419709609,14.088496419709609
15,2008,160467.0,12,,142313483.760525,FL,CHARLOTTE,,15.208641162050228,15.208641162050228
15,2009,159629.0,12,,191577123.6574875,FL,CHARLOTTE,,14.500168263534942,14.500168263534942
15,2010,159875.0,12,,230697547.824525,FL,CHARLOTTE,,15.664955201489008,15.664955201489008
15,2011,159869.0,12,10.0,207040675.5081375,FL,CHARLOTTE,6.255121380630391,14.807061928930487,6.255121380630391
15,2012,162744.0,12,,120952404.183375,FL,CHARLOTTE,,13.184114832066342,13.184114832066342
15,2013,164671.0,12,,82750438.620225,FL,CHARLOTTE,,11.630726530637734,11.630726530637734
15,2014,168041.0,12,12.0,82230250.980225,FL,CHARLOTTE,7.141114370897578,12.109261541833874,7.141114370897578
15,2015,172382.0,12,11.0,80954782.13700001,FL,CHARLOTTE,6.381176688981449,14.987429129395773,6.381176688981449
17,2006,137826.0,12,23.0,49645695.364337504,FL,CITRUS,16.68770768940548,14.028622030911139,16.68770768940548
17,2007,140974.0,12,17.0,58422098.74811251,FL,CITRUS,12.058961226892901,14.088496419709609,12.058961226892901
17,2008,142122.0,12,25.0,71761735.51966251,FL,CITRUS,17.590520820140444,15.208641162050228,17.590520820140444
17,2009,141381.0,12,19.0,81649611.79245001,FL,CITRUS,13.43886377943288,14.500168263534942,13.43886377943288
17,2010,141173.0,12,27.0,108891929.2177875,FL,CITRUS,19.12547016780829,15.664955201489008,19.12547016780829
17,2011,139764.0,12,29.0,148629061.7595375,FL,CITRUS,20.749263043416047,14.807061928930487,20.749263043416047
17,2012,139180.0,12,37.0,101552389.19385,FL,CITRUS,26.584279350481392,13.184114832066342,26.584279350481392
17,2013,138829.0,12,24.0,77246264.9518125,FL,CITRUS,17.28745435031586,11.630726530637734,17.28745435031586
17,2014,138828.0,12,24.0,73737786.691575,FL,CITRUS,17.287578874578614,12.109261541833874,17.287578874578614
17,2015,140287.0,12,25.0,76439541.36060001,FL,CITRUS,17.820610605401786,14.987429129395773,17.820610605401786
19,2006,178339.0,12,15.0,69326381.8772,FL,CLAY,8.41094768951267,14.028622030911139,8.41094768951267
19,2007,184256.0,12,26.0,85822933.064825,FL,CLAY,14.110802361931226,14.088496419709609,14.110802361931226
19,2008,187289.0,12,19.0,98532925.9160125,FL,CLAY,10.14474955816946,15.208641162050228,10.14474955816946
