county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
199,2010,54784.0,48,11.0,20.078855140186917,10.423583013677874,20.078855140186917
199,2011,55070.0,48,,,10.510762041968544,10.510762041968544
199,2012,55122.0,48,11.0,19.9557345524473,9.643108331165203,19.9557345524473
199,2013,55305.0,48,,,9.382469924535565,9.382469924535565
199,2014,55510.0,48,10.0,18.014772113132768,9.98091462955963,18.014772113132768
199,2015,55758.0,48,,,9.551080383817931,9.551080383817931
201,2003,3586133.0,48,244.0,6.803986355218839,8.526071492045281,6.803986355218839
201,2004,3630185.0,48,293.0,8.071214001490283,7.5751570676608875,8.071214001490283
201,2005,3681829.0,48,290.0,7.8765200665212864,8.75774348408746,7.8765200665212864
201,2006,3807435.0,48,348.0,9.140011582600884,12.545769398754976,9.140011582600884
201,2007,3863344.0,48,425.0,11.000832439461771,9.459096890055822,11.000832439461771
201,2008,3938580.0,48,244.0,6.195126162220902,10.073195142204476,6.195126162220902
201,2009,4034866.0,48,343.0,8.500901888687258,11.214503287680074,8.500901888687258
201,2010,4107666.0,48,375.0,9.129271951516992,10.423583013677874,9.129271951516992
201,2011,4179568.0,48,332.0,7.9434046772298,10.510762041968544,7.9434046772298
201,2012,4263094.0,48,297.0,6.966771082223381,9.643108331165203,6.966771082223381
201,2013,4353187.0,48,370.0,8.499520006836372,9.382469924535565,8.499520006836372
201,2014,4455994.0,48,345.0,7.742380263528183,9.98091462955963,7.742380263528183
201,2015,4557846.0,48,407.0,8.929656684319744,9.551080383817931,8.929656684319744
203,2003,62018.0,48,,,8.526071492045281,8.526071492045281
203,2004,62583.0,48,,,7.5751570676608875,7.5751570676608875
203,2005,62811.0,48,,,8.75774348408746,8.75774348408746
203,2006,63699.0,48,,,12.545769398754976,12.545769398754976
203,2007,63661.0,48,,,9.459096890055822,9.459096890055822
203,2008,64107.0,48,,,10.073195142204476,10.073195142204476
203,2009,65185.0,48,,,11.214503287680074,11.214503287680074
203,2010,65765.0,48,,,10.423583013677874,10.423583013677874
203,2011,66338.0,48,,,10.510762041968544,10.510762041968544
203,2012,66256.0,48,,,9.643108331165203,9.643108331165203
203,2013,66267.0,48,,,9.382469924535565,9.382469924535565
203,2014,66581.0,48,,,9.98091462955963,9.98091462955963
203,2015,66685.0,48,,,9.551080383817931,9.551080383817931
205,2003,5789.0,48,,,8.526071492045281,8.526071492045281
205,2004,5800.0,48,,,7.5751570676608875,7.5751570676608875
205,2005,5794.0,48,,,8.75774348408746,8.75774348408746
205,2006,5911.0,48,,,12.545769398754976,12.545769398754976
205,2007,6047.0,48,,,9.459096890055822,9.459096890055822
205,2008,5820.0,48,,,10.073195142204476,10.073195142204476
205,2009,5970.0,48,,,11.214503287680074,11.214503287680074
205,2010,6064.0,48,,,10.423583013677874,10.423583013677874
205,2011,6031.0,48,,,10.510762041968544,10.510762041968544
205,2012,6090.0,48,,,9.643108331165203,9.643108331165203
205,2013,5999.0,48,,,9.382469924535565,9.382469924535565
205,2014,6055.0,48,,,9.98091462955963,9.98091462955963
205,2015,5702.0,48,,,9.551080383817931,9.551080383817931
207,2003,5883.0,48,,,8.526071492045281,8.526071492045281
207,2004,5851.0,48,,,7.5751570676608875,7.5751570676608875
207,2005,5904.0,48,,,8.75774348408746,8.75774348408746
207,2006,5817.0,48,,,12.545769398754976,12.545769398754976
207,2007,5802.0,48,,,9.459096890055822,9.459096890055822
207,2008,5839.0,48,,,10.073195142204476,10.073195142204476
207,2009,5862.0,48,,,11.214503287680074,11.214503287680074
207,2010,5879.0,48,,,10.423583013677874,10.423583013677874
207,2011,5959.0,48,,,10.510762041968544,10.510762041968544
207,2012,5885.0,48,,,9.643108331165203,9.643108331165203
207,2013,5901.0,48,,,9.382469924535565,9.382469924535565
207,2014,5811.0,48,,,9.98091462955963,9.98091462955963
207,2015,5821.0,48,,,9.551080383817931,9.551080383817931
209,2003,115665.0,48,,,8.526071492045281,8.526071492045281
209,2004,119395.0,48,,,7.5751570676608875,7.5751570676608875
209,2005,125302.0,48,,,8.75774348408746,8.75774348408746
209,2006,132111.0,48,,,12.545769398754976,12.545769398754976
209,2007,140480.0,48,,,9.459096890055822,9.459096890055822
209,2008,147674.0,48,11.0,7.448840012459877,10.073195142204476,7.448840012459877
209,2009,153619.0,48,,,11.214503287680074,11.214503287680074
209,2010,158214.0,48,16.0,10.112885079702176,10.423583013677874,10.112885079702176
209,2011,163270.0,48,,,10.510762041968544,10.510762041968544
209,2012,168519.0,48,,,9.643108331165203,9.643108331165203
209,2013,176035.0,48,10.0,5.680688499446133,9.382469924535565,5.680688499446133
209,2014,184854.0,48,,,9.98091462955963,9.98091462955963
209,2015,194662.0,48,14.0,7.191953231755556,9.551080383817931,7.191953231755556
